"","protein","avg_percent","avg_percent_all","FC","cate","log2FC","spec","new_column","spec1","source","Sum","Mean","F","pvalue","qvalue"
"280","EGFR",0.0125303734232827,0.0104852124807729,1.19505193111347,"SEC",0.257073312040337,"no",NA,"no","method1","0.0009541608","3.180536e-04","78.04541",2.376122e-21,7.7495099253112e-21
"281","HAVCR1",0.00721405356340148,0.00606700461473442,1.18906347060975,"SEC",0.24982572626101,"no",NA,"no","method1","5.026366e-04","1.675455e-04","313.346296",3.451073e-38,1.48226414098361e-37
"282","CD163",0.0015135073027483,0.00130487672632394,1.15988527668212,"SEC",0.213982116605627,"no",NA,"no","method1","2.253053e-05","7.510178e-06","141.0415866",3.747535e-28,1.30913889333333e-27
"283","CXCR2",0.0024865687593847,0.00216009452437432,1.15113886514061,"SEC",0.203061880355836,"no",NA,"no","method1","5.400498e-05","1.800166e-05","132.691875",2.021569e-27,7.03076652212389e-27
"284","DSG1",0.00132648622110797,0.00115932325724508,1.14419012369347,"SEC",0.194326796626618,"no",NA,"no","method1","7.453428e-06","2.484476e-06","95.149394",1.503548e-23,5.05037917948718e-23
"285","PLAU",0.000748423810835696,0.00065465895175551,1.14322703268435,"SEC",0.193111935838311,"no",NA,"no","method1","3.536893e-06","1.178964e-06","95.648437",1.311911e-23,4.42558818025751e-23
"286","CD38",0.00242748478314215,0.00213860579633522,1.13507818378775,"SEC",0.182791673267843,"no",NA,"no","method1","9.804537e-05","3.268179e-05","313.7419155",3.323171e-38,1.43517165164835e-37
"287","MRC1",0.00283494878980797,0.00253971266948511,1.11624784325808,"SEC",0.158657387867101,"no",NA,"no","method1","9.023795e-05","3.007932e-05","18.0214741",1.374062e-08,4.218799734375e-08
"288","CLDN19",0.000950540367039676,0.000852507306586915,1.11499380673374,"SEC",0.15703569667533,"no",NA,"no","method1","6.530801e-06","2.176934e-06","111.18878033",2.45393e-25,8.45960078947368e-25
"289","ITGB7",0.00277193621626865,0.00249274537010461,1.11200134980185,"SEC",0.15315853927658,"no",NA,"no","method1","1.530968e-04","5.103228e-05","7.5059366",0.0002217164,0.000647840484758364
"290","SLC34A1",0.00191625381350317,0.00172879000783744,1.10843642363495,"SEC",0.14852602420888,"no",NA,"no","method1","3.344765e-05","1.114922e-05","157.64960557",1.672254e-29,5.89413293273543e-29
"291","PECAM1",0.00148806677816001,0.00134283253895632,1.10815513847808,"SEC",0.148159868612142,"no",NA,"no","method1","1.664595e-05","5.548651e-06","33.0331724",5.073879e-13,1.58256702142857e-12
"292","ADIPOQ",0.00742084223899481,0.00672104576811029,1.10412017638756,"SEC",0.142897208748773,"no",NA,"no","method1","1.588722e-03","5.295739e-04","1022.322102",5.517853e-54,6.99521364193548e-53
"293","CAV1",0.000995272744238755,0.000902231510753722,1.103123458199,"SEC",0.141594261975696,"no",NA,"no","method1","4.178277e-06","1.392759e-06","49.97075515",9.24417e-17,2.91803920481928e-16
"294","ULBP1",0.00151814338604844,0.00139131943963486,1.09115372271868,"SEC",0.125854364155791,"no",NA,"no","method1","1.136330e-05","3.787768e-06","73.193633",1.17092e-20,3.75650253061224e-20
"295","CD86",0.00187172433330553,0.00172204359044701,1.08692041461022,"SEC",0.120246308671952,"no",NA,"no","method1","5.219738e-05","1.739913e-05","295.8065621",1.928725e-37,8.1504185483871e-37
"296","VCAM1",0.00378585620031463,0.00348865696083318,1.0851901585103,"SEC",0.117947869123164,"no",NA,"no","method1","9.814952e-05","3.271651e-05","246.873057",4.087935e-35,1.68226016230366e-34
"297","SIGLEC11",0.00171132905245219,0.00158916160509114,1.07687540837235,"SEC",0.106851343548688,"no",NA,"no","method1","2.716173e-05","9.053909e-06","180.166737",3.798537e-31,1.39516358971963e-30
"298","CD28",0.00220313542930743,0.00205889056132399,1.0700595119979,"SEC",0.0976910352027671,"no",NA,"no","method1","7.858776e-05","2.619592e-05","330.1296930",7.221452e-39,3.2068142779661e-38
"299","AMIGO1",0.000701670355196746,0.00065836022497442,1.06578485239446,"SEC",0.0919162338657823,"no",NA,"no","method1","9.183991e-06","3.061330e-06","13.8240334",4.726704e-07,1.42891897846154e-06
"300","FOLH1",0.00237519541088206,0.00226140605139281,1.05031796895527,"SEC",0.0708261495966961,"no",NA,"no","method1","2.948130e-05","9.827099e-06","102.530921",2.11832e-24,7.20779012987013e-24
"301","ITGA11",0.000494624266036362,0.000478652875542215,1.0333673760469,"SEC",0.0473532429509856,"no",NA,"no","method1","2.718730e-06","9.062435e-07","120.52206530",2.796719e-26,9.68379354185022e-26
"302","ITGA2",0.00334462057519808,0.00323846979134445,1.03277806825228,"SEC",0.0465302694684009,"no",NA,"no","method1","2.991646e-05","9.972155e-06","96.751748",9.724802e-24,3.29469585e-23
"303","CDCP1",0.000774137489554805,0.000755254844924774,1.02500168619496,"SEC",0.0356262830605791,"no",NA,"no","method1","7.605640e-06","2.535213e-06","8.661557e+01",1.701232e-22,5.59484666108787e-22
"304","MICA",0.00116696567132594,0.00114132777982749,1.0224632151706,"SEC",0.03204894072637,"no",NA,"no","method1","6.622085e-06","2.207362e-06","89.71515066",6.89882e-23,2.27834979831933e-22
"305","PLAUR",0.00121831197040338,0.00119331400191803,1.02094835763695,"SEC",0.0299098925963637,"no",NA,"no","method1","3.032819e-05","1.010940e-05","202.861909",1.25568e-32,4.81570697560976e-32
"306","PCDH15",0.000464291460565969,0.000457496598821261,1.01485226723481,"SEC",0.0212697285533525,"no",NA,"no","method1","2.831151e-06","9.437170e-07","170.823053",1.73084e-30,6.24055155963303e-30
"307","DSC1",0.0317787396741194,0.0107173743978801,2.96516091482305,"Plasma",1.56811039978574,"spec",NA,"spec","method1","0.0109625911","3.654197e-03","51.801542",4.128154e-17,1.30835848548387e-16
"308","ITGA1",0.0850818169586987,0.0310104528779124,2.74364961046084,"Plasma",1.45609624771772,"spec","ITGA1","marker","method1","0.0763403060","0.0254467687","246.689053",4.178584e-35,1.710607825e-34
